TrialDescriptor,Stimulus,BlobNum,StartPosX,StartPosY,StartPosZ,EndPosX,EndPosY,EndPosZ,StartRotX,StartRotY,StartRotZ,EndRotX,EndRotY,EndRotZ
Reset#: 0; Best Score: 120,0,BlueSunWithTrail,0.1210027,0.9497181,0.1653754,-0.2175828,1.021895,-0.1035563,0,0,0,0,0,0
Reset#: 0; Best Score: 120,1,BlueSunWithTrail,0.1210027,0.9497181,0.1653754,-0.2175828,1.021895,-0.1035563,0,0,0,0,0,0
Reset#: 0; Best Score: 120,2,CenterEyeAnchor,0,1.4,-1,0.1455511,1.088216,-0.7583079,0,0,0,-0.2769573,0.154894,-0.946856
Reset#: 1; Best Score: 120,0,BlueSunWithTrail,-0.06756926,0.8767509,-0.1609882,-0.07653469,0.8927552,-0.1411389,0,0,0,0,0,0
Reset#: 1; Best Score: 120,1,BlueSunWithTrail,-0.06756926,0.8767509,-0.1609882,-0.07653469,0.8927552,-0.1411389,0,0,0,0,0,0
Reset#: 1; Best Score: 120,2,CenterEyeAnchor,0.1455519,1.088216,-0.7583084,0.1455651,1.088224,-0.7582925,-0.2769541,0.1548958,-0.946857,-0.2769791,0.1547694,-0.9468722
Reset#: 2; Best Score: 120,0,BlueSunWithTrail,0.0623864,0.773728,-0.1385975,0.00581991,0.8744782,-0.0670227,0,0,0,0,0,0
Reset#: 2; Best Score: 120,1,BlueSunWithTrail,0.0623864,0.773728,-0.1385975,0.00581991,0.8744782,-0.0670227,0,0,0,0,0,0
Reset#: 2; Best Score: 120,2,CenterEyeAnchor,0.1455646,1.088228,-0.7582915,0.1455487,1.08822,-0.7582975,-0.2769738,0.1547924,-0.9468697,-0.2768918,0.1548601,-0.9468818
Reset#: 3; Best Score: 120,0,BlueSunWithTrail,-0.1952774,0.8770314,0.1212316,-0.1519917,0.8891544,0.1316779,0,0,0,0,0,0
Reset#: 3; Best Score: 120,1,BlueSunWithTrail,-0.1952774,0.8770314,0.1212316,-0.1519917,0.8891544,0.1316779,0,0,0,0,0,0
Reset#: 3; Best Score: 120,2,CenterEyeAnchor,0.1455486,1.088219,-0.7583007,0.1455344,1.088209,-0.7583135,-0.276901,0.1548755,-0.9468765,-0.2768915,0.154957,-0.9468632
Reset#: 4; Best Score: 120,0,BlueSunWithTrail,-0.1553249,1.210589,0.1186079,-0.01146913,1.080901,0.05494446,0,0,0,0,0,0
Reset#: 4; Best Score: 120,1,BlueSunWithTrail,-0.1553249,1.210589,0.1186079,-0.01146913,1.080901,0.05494446,0,0,0,0,0,0
Reset#: 4; Best Score: 120,2,CenterEyeAnchor,0.1455356,1.088211,-0.75831,0.1455204,1.088199,-0.7583271,-0.2768984,0.1549387,-0.9468638,-0.2768993,0.1550415,-0.9468437
